type_generateur;mode_combustion;energie_generateur;volume_stockage/gt;volume_stockage/eq;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;qp0;pveilleuse
chaudiere;basse_temperature;fioul;;;2015;;;;;87.5 + 1.5 * logPn;1.0 / 100 * Pn;0
chaudiere;basse_temperature;fioul;;;;2016;;;;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;basse_temperature;gaz_naturel|gpl;;;2000;;;;;87.5 + 1.5 * logPn;1.2 / 100 * Pn;120
chaudiere;basse_temperature;gaz_naturel|gpl;;;2015;2001;;;;87.5 + 1.5 * logPn;1.0 / 100 * Pn;0
chaudiere;basse_temperature;gaz_naturel|gpl;;;;2016;;;;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;condensation;fioul;;;2015;;;;;91 + logPn;1.0 / 100 * Pn;0
chaudiere;condensation;fioul;;;;2016;70;;;91 + 3 * logPn;0.5 / 100 * Pn;0
chaudiere;condensation;fioul;;;;2016;400;70;;94 + logPn;0.6 / 100 * Pn;0
chaudiere;condensation;fioul;;;;2016;;400;400;96.6;0.3 / 100 * Pn;0
chaudiere;condensation;gaz_naturel|gpl;;;1985;;;;;91 + logPn;1.0 / 100 * Pn;150
chaudiere;condensation;gaz_naturel|gpl;;;2000;1986;;;;91 + logPn;1.0 / 100 * Pn;120
chaudiere;condensation;gaz_naturel|gpl;;;2015;2001;;;;91 + logPn;1.0 / 100 * Pn;0
chaudiere;condensation;gaz_naturel|gpl;;;;2016;70;;;91 + 3 * logPn;0.5 / 100 * Pn;0
chaudiere;condensation;gaz_naturel|gpl;;;;2016;400;70;;94 + logPn;0.3 / 100 * Pn;0
chaudiere;condensation;gaz_naturel|gpl;;;;2016;;400;400;96.6;0.3 / 100 * Pn;0
chaudiere;standard;fioul;;;1970;;;;;84 + 2 * logPn;4.0 / 100 * Pn;0
chaudiere;standard;fioul;;;1975;1970;;;;84 + 2 * logPn;3.0 / 100 * Pn;0
chaudiere;standard;fioul;;;1980;1976;;;;84 + 2 * logPn;2.0 / 100 * Pn;0
chaudiere;standard;fioul;;;1990;1981;;;;84 + 2 * logPn;1.0 / 100 * Pn;0
chaudiere;standard;fioul;;;2015;1991;;;;84 + 2 * logPn;1.0 / 100 * Pn;0
chaudiere;standard;fioul;;;;2016;;;;84 + 2 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;standard;gaz_naturel|gpl;;;1980;;;;;84 + 2 * logPn;4.0 / 100 * Pn;240
chaudiere;standard;gaz_naturel|gpl;;;1985;1981;;;;84 + 2 * logPn;2.0 / 100 * Pn;150
chaudiere;standard;gaz_naturel|gpl;;;1990;1986;;;;84 + 2 * logPn;1.5 / 100 * Pn;150
chaudiere;standard;gaz_naturel|gpl;;;2000;1991;;;;84 + 2 * logPn;1.2 / 100 * Pn;120
chaudiere;standard;gaz_naturel|gpl;;;2015;2001;;;;84 + 2 * logPn;1.0 / 100 * Pn;0
chaudiere;standard;gaz_naturel|gpl;;;;2016;;;;84 + 2 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1977;;70;;;47 + 6 * logPn;0.08 * Pn * (Pn ^ -0.27);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1977;;400;70;70;58;1.8;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1977;;;400;70;58;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1994;1978;70;;;47 + 6 * logPn;0.07 * Pn * (Pn ^ -0.3);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1994;1978;400;70;70;58;1.4;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;1994;1978;;400;70;58;0.8;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2003;1995;70;;;47 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2003;1995;400;70;70;58;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2003;1995;;400;70;58;0.5;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2012;2004;70;;;57 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2012;2004;400;70;70;68;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2012;2004;;400;70;68;0.5;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2017;2013;70;;;67 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2017;2013;400;70;70;78;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2017;2013;;400;70;78;0.5;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2019;2018;70;;;80 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2019;2018;400;70;70;84;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;2019;2018;;400;70;84;0.5;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;;2020;20;;;89 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;;2020;70;20;;90 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_buche|bois_plaquette|charbon;;;;2020;400;70;70;94;1.1;0
chaudiere;;bois_buche|bois_plaquette|charbon;;;;2020;;400;70;94;0.5;0
chaudiere;;bois_granule;;;1977;;70;;;47 + 6 * logPn;0.08 * Pn * (Pn ^ -0.27);0
chaudiere;;bois_granule;;;1977;;400;70;70;58;1.8;0
chaudiere;;bois_granule;;;1977;;;400;70;58;1.1;0
chaudiere;;bois_granule;;;1994;1978;70;;;47 + 6 * logPn;0.08 * Pn * (Pn ^ -0.3);0
chaudiere;;bois_granule;;;1994;1978;400;70;70;58;1.4;0
chaudiere;;bois_granule;;;1994;1978;;400;70;58;0.8;0
chaudiere;;bois_granule;;;2003;1995;70;;;57 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_granule;;;2003;1995;400;70;70;68;1.1;0
chaudiere;;bois_granule;;;2003;1995;;400;70;68;0.5;0
chaudiere;;bois_granule;;;2012;2004;70;;;67 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_granule;;;2012;2004;400;70;70;78;1.1;0
chaudiere;;bois_granule;;;2012;2004;;400;70;78;0.5;0
chaudiere;;bois_granule;;;2019;2013;70;;;80 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_granule;;;2019;2013;400;70;70;84;1.1;0
chaudiere;;bois_granule;;;2019;2013;;400;70;84;0.5;0
chaudiere;;bois_granule;;;;2020;20;;;91 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_granule;;;;2020;70;20;;92 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere;;bois_granule;;;;2020;400;70;70;96;1.1;0
chaudiere;;bois_granule;;;;2020;;400;70;96;0.5;0
poele_bouilleur;;bois_buche|bois_plaquette;;;2011;;70;;;47 + 6 * logPn;0.07 * Pn * (Pn ^ -0.3);0
poele_bouilleur;;bois_buche|bois_plaquette;;;2011;;400;70;70;58;1.4;0
poele_bouilleur;;bois_buche|bois_plaquette;;;2011;;;400;70;58;0.8;0
poele_bouilleur;;bois_buche|bois_plaquette;;;;2012;70;;;57 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
poele_bouilleur;;bois_buche|bois_plaquette;;;;2012;400;70;70;68;1.1;0
poele_bouilleur;;bois_buche|bois_plaquette;;;;2012;;400;70;68;0.5;0
poele_bouilleur;;bois_granule;;;2011;;70;;;47 + 6 * logPn;0.08 * Pn * (Pn ^ -0.3);0
poele_bouilleur;;bois_granule;;;2011;;400;70;70;58;1.4;0
poele_bouilleur;;bois_granule;;;2011;;;400;70;58;0.8;0
poele_bouilleur;;bois_granule;;;;2012;70;;;67 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
poele_bouilleur;;bois_granule;;;;2012;400;70;70;78;1.1;0
poele_bouilleur;;bois_granule;;;;2012;;400;70;78;0.5;0
